league,league_name,market,n,logloss_poisson,brier_poisson,logloss_ml,brier_ml
B1,Belgium First Division A,1x2_away,160,0.6364682386907953,0.21656977111388737,0.6218458541992279,0.2137376981622356
B1,Belgium First Division A,1x2_draw,160,0.6088929486108118,0.2082971996731983,0.5885002963553218,0.2007111061282202
B1,Belgium First Division A,1x2_home,160,0.6984088265858813,0.25275602737245756,0.6407463924187541,0.22490946250982505
B1,Belgium First Division A,btts_no,160,0.688114914280756,0.24694349693860823,0.6846401543706289,0.24555806466104454
B1,Belgium First Division A,btts_yes,160,0.688114914280756,0.24694349693860823,0.6846401543706289,0.24555806466104454
B1,Belgium First Division A,dc_12,160,0.6088929486108118,0.2082971996731983,0.5885002963553216,0.20071110612822016
B1,Belgium First Division A,dc_1x,160,0.6364682386907953,0.21656977111388737,0.6218458541992279,0.2137376981622356
B1,Belgium First Division A,dc_2x,160,0.6984088265858813,0.2527560273724575,0.6407463924187541,0.22490946250982505
B1,Belgium First Division A,over_0.5,160,0.2530943195843133,0.06438145585415005,0.24580080999246984,0.06383803027718216
B1,Belgium First Division A,over_1.5,160,0.5645453330707535,0.18955585796319765,0.545747390656285,0.18399784347510492
B1,Belgium First Division A,over_2.5,160,0.7727942724874433,0.2836166102441351,0.7201627228378589,0.26063459980680453
B1,Belgium First Division A,over_3.5,160,0.6635298796841652,0.2342282711478168,0.591777541402714,0.2016168268290858
B1,Belgium First Division A,under_0.5,160,0.2530943195843132,0.06438145585415005,0.24580080999246984,0.06383803027718217
B1,Belgium First Division A,under_1.5,160,0.5645453330707535,0.18955585796319768,0.545747390656285,0.18399784347510498
B1,Belgium First Division A,under_2.5,160,0.7727942724874433,0.2836166102441351,0.7201627228378591,0.26063459980680453
B1,Belgium First Division A,under_3.5,160,0.6635298796841651,0.2342282711478168,0.591777541402714,0.2016168268290858
D1,Bundesliga,1x2_away,149,0.5457239025915128,0.18476703919370757,0.5448958689782393,0.18440809046935208
D1,Bundesliga,1x2_draw,149,0.521733464815586,0.17019230944293184,0.5269834391875516,0.17222379586999098
D1,Bundesliga,1x2_home,149,0.595264260521396,0.2049166828619473,0.5994578050542049,0.20594664075440225
D1,Bundesliga,btts_no,149,0.7008486589445524,0.2527436897087962,0.7210630207141827,0.2607155422528742
D1,Bundesliga,btts_yes,149,0.7008486589445524,0.2527436897087962,0.7210630207141827,0.26071554225287424
D1,Bundesliga,dc_12,149,0.521733464815586,0.17019230944293187,0.5269834391875516,0.17222379586999098
D1,Bundesliga,dc_1x,149,0.5457239025915128,0.18476703919370757,0.5448958689782393,0.18440809046935208
D1,Bundesliga,dc_2x,149,0.595264260521396,0.2049166828619473,0.599457805054205,0.20594664075440225
D1,Bundesliga,over_0.5,149,0.21207619434040634,0.05112945787281942,0.2078888011979912,0.050742833357703875
D1,Bundesliga,over_1.5,149,0.4575827153005537,0.1409017250124279,0.4543623778894428,0.14044807370401458
D1,Bundesliga,over_2.5,149,0.6696527940456407,0.2363112964873691,0.6787523871494694,0.24088302109022358
D1,Bundesliga,over_3.5,149,0.6797395431307565,0.2431738291912283,0.6879465847087258,0.24625797197687233
D1,Bundesliga,under_0.5,149,0.21207619434040637,0.05112945787281942,0.20788880119799116,0.05074283335770386
D1,Bundesliga,under_1.5,149,0.4575827153005536,0.14090172501242787,0.4543623778894428,0.14044807370401452
D1,Bundesliga,under_2.5,149,0.6696527940456407,0.2363112964873691,0.6787523871494694,0.24088302109022358
D1,Bundesliga,under_3.5,149,0.6797395431307565,0.2431738291912283,0.6879465847087258,0.24625797197687233
D2,2. Bundesliga,1x2_away,153,0.6772084544818051,0.2379315216863587,0.6675924449161379,0.23524169101939457
D2,2. Bundesliga,1x2_draw,153,0.5029412899152425,0.1618561734518743,0.5137363577952109,0.16558120995597003
D2,2. Bundesliga,1x2_home,153,0.7091782393663234,0.2565239492813465,0.7062193761895703,0.25390567040637974
D2,2. Bundesliga,btts_no,153,0.7637629170451797,0.28191343112111605,0.7572092646889436,0.2792960236027726
D2,2. Bundesliga,btts_yes,153,0.7637629170451797,0.28191343112111605,0.7572092646889436,0.2792960236027726
D2,2. Bundesliga,dc_12,153,0.5029412899152427,0.1618561734518743,0.5137363577952109,0.16558120995597006
D2,2. Bundesliga,dc_1x,153,0.6772084544818052,0.23793152168635864,0.6675924449161378,0.23524169101939457
D2,2. Bundesliga,dc_2x,153,0.7091782393663234,0.2565239492813465,0.7062193761895703,0.25390567040637974
D2,2. Bundesliga,over_0.5,153,0.24203250489616082,0.056593821353422384,0.2302480619703428,0.056057182307479386
D2,2. Bundesliga,over_1.5,153,0.6172532702704511,0.19457237262212101,0.6127302256122162,0.19600021147521496
D2,2. Bundesliga,over_2.5,153,0.754783257876897,0.2747481997617387,0.7349534276481404,0.26782161240694374
D2,2. Bundesliga,over_3.5,153,0.7072554970085806,0.2553359693563558,0.6611832690066017,0.23204879476025844
D2,2. Bundesliga,under_0.5,153,0.24203250489616074,0.05659382135342237,0.23024806197034273,0.056057182307479386
D2,2. Bundesliga,under_1.5,153,0.6172532702704512,0.19457237262212101,0.6127302256122162,0.19600021147521496
D2,2. Bundesliga,under_2.5,153,0.754783257876897,0.2747481997617387,0.7349534276481404,0.26782161240694374
D2,2. Bundesliga,under_3.5,153,0.7072554970085806,0.25533596935635583,0.6611832690066017,0.2320487947602585
E0,Premier League,1x2_away,210,0.5394487502693553,0.17995479494578331,0.5415489109759071,0.18102311096115778
E0,Premier League,1x2_draw,210,0.5761827330004144,0.19410782658033954,0.5689698589040133,0.19155705871801645
E0,Premier League,1x2_home,210,0.6283122307637289,0.22064942027397574,0.6269564122481016,0.21971942119856053
E0,Premier League,btts_no,210,0.6846395318733788,0.24548348214039248,0.6899089442656592,0.2476944475954264
E0,Premier League,btts_yes,210,0.6846395318733788,0.24548348214039248,0.6899089442656592,0.24769444759542636
E0,Premier League,dc_12,210,0.5761827330004144,0.19410782658033954,0.5689698589040132,0.19155705871801645
E0,Premier League,dc_1x,210,0.5394487502693553,0.17995479494578337,0.5415489109759072,0.18102311096115778
E0,Premier League,dc_2x,210,0.6283122307637289,0.22064942027397574,0.6269564122481016,0.21971942119856053
E0,Premier League,over_0.5,210,0.27192954347932297,0.06742161666065002,0.2755608793415932,0.06765484046514608
E0,Premier League,over_1.5,210,0.5055995017732521,0.15981325144334185,0.5055893912428732,0.1598793507841081
E0,Premier League,over_2.5,210,0.6965299396703675,0.25025582962748144,0.6882999401118753,0.2467605985915647
E0,Premier League,over_3.5,210,0.6387943520598799,0.22350309235168378,0.6196747655964827,0.21415255049173504
E0,Premier League,under_0.5,210,0.27192954347932285,0.06742161666065,0.27556087934159307,0.06765484046514608
E0,Premier League,under_1.5,210,0.5055995017732521,0.15981325144334185,0.5055893912428733,0.15987935078410814
E0,Premier League,under_2.5,210,0.6965299396703675,0.25025582962748144,0.6882999401118753,0.2467605985915647
E0,Premier League,under_3.5,210,0.6387943520598799,0.22350309235168375,0.6196747655964827,0.21415255049173504
E1,Championship,1x2_away,307,0.6258427799025531,0.21306747083364685,0.6162777058035078,0.21159340758297476
E1,Championship,1x2_draw,307,0.6000449317864013,0.2005776487054087,0.582484279145434,0.19613333647970999
E1,Championship,1x2_home,307,0.7481208004147565,0.27351122062114835,0.716699211686282,0.25935896169471134
E1,Championship,btts_no,307,0.6853759411882655,0.2460828139351176,0.6869229278498077,0.246905913164
E1,Championship,btts_yes,307,0.6853759411882655,0.2460828139351176,0.6869229278498077,0.246905913164
E1,Championship,dc_12,307,0.6000449317864013,0.20057764870540865,0.582484279145434,0.19613333647970999
E1,Championship,dc_1x,307,0.6258427799025531,0.21306747083364697,0.6162777058035078,0.21159340758297476
E1,Championship,dc_2x,307,0.7481208004147564,0.27351122062114835,0.716699211686282,0.25935896169471134
E1,Championship,over_0.5,307,0.23355958359377707,0.0534057798021677,0.23271000321731944,0.053873858127081835
E1,Championship,over_1.5,307,0.5780650251688548,0.18970609067456115,0.5710538932406459,0.18925573389974634
E1,Championship,over_2.5,307,0.7252976288850701,0.26166531026729783,0.7107261108312525,0.25771617135371705
E1,Championship,over_3.5,307,0.631057801305937,0.21921448397330204,0.5892027160000759,0.1989860120704803
E1,Championship,under_0.5,307,0.23355958359377724,0.0534057798021677,0.23271000321731972,0.053873858127081835
E1,Championship,under_1.5,307,0.578065025168855,0.18970609067456115,0.5710538932406458,0.18925573389974634
E1,Championship,under_2.5,307,0.7252976288850702,0.26166531026729783,0.7107261108312526,0.25771617135371705
E1,Championship,under_3.5,307,0.631057801305937,0.21921448397330204,0.5892027160000759,0.1989860120704803
E2,League One,1x2_away,291,0.596784388559748,0.20328828000167853,0.6016545476951531,0.20632719915983905
